link,path,trial,milliseconds
wan-25ms,lease,23,0.0061
wan-25ms,lease,24,0.0057
wan-25ms,lease,25,0.0056
wan-25ms,lease,26,0.0053
wan-25ms,lease,27,0.0046
wan-25ms,lease,28,0.0048
wan-25ms,lease,29,0.0056
wan-25ms,lease,30,0.0037
wan-25ms,lease,31,0.0038
wan-25ms,lease,32,0.0043
wan-25ms,lease,33,0.0033
wan-25ms,lease,34,0.0032
wan-25ms,lease,35,0.0044
wan-25ms,lease,36,0.0030
wan-25ms,lease,37,0.0020
wan-25ms,lease,38,0.0019
wan-25ms,lease,39,0.0044
wan-25ms,lease,40,0.0011
wan-25ms,lease,41,0.0013
wan-25ms,lease,42,0.0020
wan-25ms,lease,43,0.0019
wan-25ms,lease,44,0.0037
wan-25ms,lease,45,0.0050
wan-25ms,lease,46,0.0063
wan-25ms,lease,47,0.0049
wan-25ms,lease,48,0.0020
wan-25ms,lease,49,0.0013
